row,col,Well,Flight,Unit,Board,Inhibitor,Supply.I.mA,Time,Parabola,Construct,LED.trigger,Condition,ConversionRate,IntegratedIntensity,RedMeanIntensity,Green_Red_Mean_Intensity,Green_Red_Mean_Intensity_norm_Green_Mean_Intensity,Temp.Board.1,Temp.Board.2,Temp.LED,Pressure.mbar,Gravity.X.mg,Gravity.Y.mg,Gravity.Z.mg,Supply.U.mV
A,11,A11,3,102,1,Thapsigargin,612.3375,2021-06-17 09:45:07,1,CaMPARI2-F391W,1,Pull-up,0.1935336,435.9583,0.9315271,0.7420034,0.03125455,36.8275,36.82075,34.13325,1058,2.0875,183.18,1872.9075,23741.3475
A,11,A11,3,102,2,Flunarizine,612.3375,2021-06-17 09:45:07,1,CaMPARI2-F391W,1,Pull-up,0.1080268,370.8409,0.8722825,0.7145138,0.02311411,36.8275,36.82075,34.13325,1058,2.0875,183.18,1872.9075,23741.3475
A,11,A11,3,103,1,Ruthenium Red,593.4625,2021-06-17 09:45:03,1,CaMPARI2-F391W,1,Pull-up,0.1196551,324.1375,0.8155643,0.6499382,0.0180314,36.84325,36.82975,34.325,1028,7.1175,135.5125,1824.41,23805.7475
A,11,A11,3,103,2,GSK2193874,593.4625,2021-06-17 09:45:03,1,CaMPARI2-F391W,1,Pull-up,0.1908632,417.5177,0.8824104,0.6929786,0.01993664,36.84325,36.82975,34.325,1028,7.1175,135.5125,1824.41,23805.7475
A,11,A11,3,104,1,BAPTA,617.3975,2021-06-17 09:45:03,1,CaMPARI2-F391W,1,Pull-up,0.08018555,404.491,0.756032,0.5792623,0.01973825,36.8145,36.81175,33.9515,1072,-2.975,149.17,1821.0525,23548.8375
A,11,A11,3,104,2,DMSO,617.3975,2021-06-17 09:45:03,1,CaMPARI2-F391W,1,Pull-up,0.1321476,378.9004,0.8544213,0.7024641,0.02009144,36.8145,36.81175,33.9515,1072,-2.975,149.17,1821.0525,23548.8375
A,12,A12,1,101,1,None,NA,NA,1,CaMPARI2-F391W,2,Pull-up,0.09963889,443.8391,0.7645075,0.5675656,0.01930224,NA,NA,NA,NA,NA,NA,NA,NA
A,12,A12,1,101,2,Gd3+,NA,NA,1,CaMPARI2-F391W,2,Pull-up,0.1354848,281.1727,0.8060722,0.5816302,0.01603308,NA,NA,NA,NA,NA,NA,NA,NA
A,12,A12,1,102,1,Thapsigargin,613.455,2021-06-17 09:42:16,1,CaMPARI2-F391W,2,Pull-up,0.1641079,687.2311,1.065159,1.008913,0.04354622,36.70675,36.70575,34.879,1072.9375,8.465,200.7175,1732.265,23662.9175
A,12,A12,1,102,2,Flunarizine,613.455,2021-06-17 09:42:16,1,CaMPARI2-F391W,2,Pull-up,0.1181454,751.9197,0.8015926,0.6188108,0.02195036,36.70675,36.70575,34.879,1072.9375,8.465,200.7175,1732.265,23662.9175
A,12,A12,1,103,1,Ruthenium Red,593.555,2021-06-17 09:42:16,1,CaMPARI2-F391W,2,Pull-up,0.1131752,318.084,0.7903408,0.6207942,0.01876591,36.64075,36.61675,34.128,1033,-3.64,180.38,1643.335,23786.1975
A,12,A12,1,103,2,GSK2193874,593.555,2021-06-17 09:42:16,1,CaMPARI2-F391W,2,Pull-up,0.1764311,390.7183,0.8844318,0.6546789,0.01954043,36.64075,36.61675,34.128,1033,-3.64,180.38,1643.335,23786.1975
A,12,A12,1,104,1,BAPTA,614.83,2021-06-17 09:42:15,1,CaMPARI2-F391W,2,Pull-up,0.06175985,775.8984,0.7477835,0.5550864,0.01542038,36.5595,36.609,33.93375,1064.995,-23.11,175.0575,1748.2425,23571.8375
A,12,A12,1,104,2,DMSO,614.83,2021-06-17 09:42:15,1,CaMPARI2-F391W,2,Pull-up,0.1161228,309.0453,0.7801853,0.5785348,0.01691403,36.5595,36.609,33.93375,1064.995,-23.11,175.0575,1748.2425,23571.8375
A,12,A12,2,101,1,None,601.7725,2021-06-17 09:40:14,1,CaMPARI2-F391W,2,Pull-up,0.1304981,480.1422,0.7794105,0.6337956,0.02042941,36.6865,36.62325,34.487,1023.9175,-5.3025,211.0375,1730.39,23748.765
A,12,A12,2,101,2,Gd3+,601.7725,2021-06-17 09:40:14,1,CaMPARI2-F391W,2,Pull-up,0.1510142,286.218,0.773066,0.5767519,0.01594184,36.6865,36.62325,34.487,1023.9175,-5.3025,211.0375,1730.39,23748.765
A,12,A12,2,102,1,Thapsigargin,612.9,2021-06-17 09:40:14,1,CaMPARI2-F391W,2,Pull-up,0.2073272,569.0096,1.094979,0.928294,0.04093654,36.6945,36.68575,34.5815,1069.7175,4.71,222.475,1727.66,23741.1175
A,12,A12,2,102,2,Flunarizine,612.9,2021-06-17 09:40:14,1,CaMPARI2-F391W,2,Pull-up,0.108852,329.0895,0.7786295,0.6243858,0.02173361,36.6945,36.68575,34.5815,1069.7175,4.71,222.475,1727.66,23741.1175
A,12,A12,2,103,1,Ruthenium Red,594.255,2021-06-17 09:40:14,1,CaMPARI2-F391W,2,Pull-up,0.08726738,780.3768,0.8412582,0.6193032,0.0201257,36.6495,36.6805,34.50625,1031.5875,-5.14,182.45,1731.1175,23716.3925
A,12,A12,2,103,2,GSK2193874,594.255,2021-06-17 09:40:14,1,CaMPARI2-F391W,2,Pull-up,0.1763865,779.4451,0.8899294,0.7486838,0.02118986,36.6495,36.6805,34.50625,1031.5875,-5.14,182.45,1731.1175,23716.3925
A,12,A12,2,104,1,BAPTA,613.405,2021-06-17 09:40:13,1,CaMPARI2-F391W,2,Pull-up,0.08486042,344.1107,0.8662618,0.7166541,0.02056116,36.62925,36.6525,34.33275,1059.51,-18.1575,196.545,1714.7125,23589.3175
A,12,A12,2,104,2,DMSO,613.405,2021-06-17 09:40:13,1,CaMPARI2-F391W,2,Pull-up,0.1222453,258.3362,0.7886276,0.668816,0.01982107,36.62925,36.6525,34.33275,1059.51,-18.1575,196.545,1714.7125,23589.3175
A,12,A12,3,101,1,None,NA,NA,1,CaMPARI2-F391W,2,Pull-up,0.09513334,319.2287,0.7937129,0.5847061,0.01939748,NA,NA,NA,NA,NA,NA,NA,NA
A,12,A12,3,101,2,Gd3+,NA,NA,1,CaMPARI2-F391W,2,Pull-up,0.0992089,372.1226,0.8460902,0.5850015,0.01913691,NA,NA,NA,NA,NA,NA,NA,NA
A,12,A12,3,102,1,Thapsigargin,610.9125,2021-06-17 09:45:15,1,CaMPARI2-F391W,2,Pull-up,0.1503374,584.8565,1.04705,0.8729252,0.03785866,36.69125,36.6805,34.61275,1058,0.0075,220.265,1742.6975,23741.3475
A,12,A12,3,102,2,Flunarizine,610.9125,2021-06-17 09:45:15,1,CaMPARI2-F391W,2,Pull-up,0.08575659,382.2643,0.7403224,0.5764037,0.02405042,36.69125,36.6805,34.61275,1058,0.0075,220.265,1742.6975,23741.3475
